mass_kg,fatmass_kg,taxa,author,measure_estimate,family
1.4492,0.33164,mephitis_mephitis,navarrete_2011,measured,Mephitidae
0.25884,0.0055,mustela_erminea,navarrete_2011,measured,Mustelidae
0.03236,0.00139,mustela_nivalis,navarrete_2011,measured,Mustelidae
0.64,0.0577811,mustela_putorius,navarrete_2011,measured,Mustelidae
75.0,0.9575935,panthera_tigris_altaica,navarrete_2011,measured,Felidae
3.92,0.85903,potos_flavus,navarrete_2011,measured,Procyonidae
7.3,0.95732,prionailurus_viverrinus,navarrete_2011,measured,Felidae
5.4,0.1575817,proteles_cristata,navarrete_2011,measured,Hyaenidae
5.9,1.276415,puma_yagouaroundi,navarrete_2011,measured,Felidae
2.075,0.3217963,vulpes_corsac,navarrete_2011,measured,Canidae
34.0,0.6880738,zalophus_californianus,navarrete_2011,measured,Otariidae
0.014748,0.004058,lasionycteris_noctivagans,navarrete_2011,measured,Vespertilionidae
0.013508,0.00297,lasiurus_borealis,navarrete_2011,measured,Vespertilionidae
0.02563667,0.001886667,nyctalus_noctula,navarrete_2011,measured,Vespertilionidae
2.6335,0.232975,didelphis_virginiana,navarrete_2011,measured,Didelphidae
7.7,0.0912873,macropus_agilis,navarrete_2011,measured,Macropodidae
0.809,0.00906035,potorous_tridactylus,navarrete_2011,measured,Potoroidae
1.55,0.02844608,trichosurus_vulpecula,navarrete_2011,measured,Phalangeridae
0.0178098,0.000672,blarina_brevicauda,navarrete_2011,measured,Soricidae
0.009545714,0.000591429,crocidura_russula,navarrete_2011,measured,Soricidae
0.949545,0.09397,erinaceus_europaeus,navarrete_2011,measured,Erinaceidae
0.01028,0.00038,neomys_anomalus,navarrete_2011,measured,Soricidae
0.01569,0.00111,neomys_fodiens,navarrete_2011,measured,Soricidae
0.00751,0.00031,sorex_araneus,navarrete_2011,measured,Soricidae
0.051348,0.00171142,talpa_europaea,navarrete_2011,measured,Talpidae
3.3387,0.1424,lepus_europaeus,navarrete_2011,measured,Leporidae
0.9717143,0.013357,sylvilagus_floridanus,navarrete_2011,measured,Leporidae
4.4,0.07429487,alouatta_sara,navarrete_2011,measured,Atelidae
0.3116,0.00553878,callithrix_jacchus,navarrete_2011,measured,Callitrichidae
0.163,0.02194998,cebuella_pygmaea,navarrete_2011,measured,Callitrichidae
1.75,0.1757024,cebus_apella,navarrete_2011,measured,Cebidae
0.231,0.01408628,cheirogaleus_medius,navarrete_2011,measured,Cheirogaleidae
5.3,0.239501,chlorocebus_pygerythrus,navarrete_2011,measured,Cercopithecidae
9.75,0.1884211,colobus_guereza,navarrete_2011,measured,Cercopithecidae
2.5,0.3846375,eulemur_fulvus_fulvus,navarrete_2011,measured,Lemuridae
1.875,0.1489316,eulemur_macaco_macaco,navarrete_2011,measured,Lemuridae
6.55,0.07432906,hylobates_concolor,navarrete_2011,measured,Hylobatidae
2.075,0.2102001,lemur_catta,navarrete_2011,measured,Lemuridae
0.6416667,0.05550177,leontopithecus_chrysomelas,navarrete_2011,measured,Callitrichidae
15.86667,1.679105,macaca_arctoides,navarrete_2011,measured,Cercopithecidae
5.6,0.3324978,macaca_nigra,navarrete_2011,measured,Cercopithecidae
23.0,2.3321,mandrillus_sphinx,navarrete_2011,measured,Cercopithecidae
23.25,1.006827,papio_hamadryas,navarrete_2011,measured,Cercopithecidae
