mass_kg,fatmass_kg,taxa,author,measure_estimate,habitat
0.04792,0.00319,jaculus_jaculus,navarrete_2011,measured,terrestrial
0.01549444,0.00051,microtus_agrestis,navarrete_2011,measured,terrestrial
0.027,0.00148,microtus_arvalis,navarrete_2011,measured,terrestrial
0.020957,0.000361,microtus_pinetorum,navarrete_2011,measured,terrestrial
0.014933,0.000107,mus_musculus,navarrete_2011,measured,terrestrial
0.01549,0.00044,myodes_glareolus,navarrete_2011,measured,terrestrial
0.12936,0.01239,octodon_degus,navarrete_2011,measured,terrestrial
0.991,0.043975,ondatra_zibethicus,navarrete_2011,measured,terrestrial
0.022122,0.000746,peromyscus_leucopus,navarrete_2011,measured,terrestrial
0.209905,0.01891833,rattus_norvegicus,navarrete_2011,measured,terrestrial
0.050274,0.006996,rhabdomys_pumilio,navarrete_2011,measured,terrestrial
0.5957571,0.05967143,sciurus_carolinensis,navarrete_2011,measured,terrestrial
0.4124,0.0109,sciurus_niger,navarrete_2011,measured,terrestrial
0.2745525,0.00275126,sciurus_vulgaris,navarrete_2011,measured,terrestrial
0.1039713,0.003477,tamias_striatus,navarrete_2011,measured,terrestrial
0.1408,0.00304291,tupaia_glis,navarrete_2011,measured,terrestrial
30626.00323,14021.62505,pusa_hispida,ryg_1993,measured,aquatic
29966.90185,9863.657993,phocoena_phocoena,ryg_1993,measured,aquatic
39195.11788,13519.91424,halichoerus_grypus,ryg_1993,measured,aquatic
48251.74818,18841.10471,erignathus_barbatus,ryg_1993,measured,aquatic
54226.998,16290.79956,odobenus_rosmarus,ryg_1993,measured,aquatic
71512.06667,12103.09646,balaenoptera_acutorostrata,ryg_1993,measured,aquatic
85378.96,13770.00082,balaenoptera_borealis,ryg_1993,measured,aquatic
89083.71,15376.41605,balaenoptera_physalus,ryg_1993,measured,aquatic
0.002633,3.12E-05,mammal,pond_1985,measured,unknown
0.004647,5.30E-05,mammal,pond_1985,measured,unknown
0.004746,7.79E-05,mammal,pond_1985,measured,unknown
0.004647,8.90E-05,mammal,pond_1985,measured,unknown
0.004139,0.0001264,mammal,pond_1985,measured,unknown
0.003572,0.000112343,mammal,pond_1985,measured,unknown
0.007005,0.000140478,mammal,pond_1985,measured,unknown
0.011013,0.000396533,mammal,pond_1985,measured,unknown
0.011013,0.000722794,mammal,pond_1985,measured,unknown
0.01276,0.000866591,mammal,pond_1985,measured,unknown
0.018834,0.001253312,mammal,pond_1985,measured,unknown
0.020705,0.00128343,mammal,pond_1985,measured,unknown
0.025287,0.001682714,mammal,pond_1985,measured,unknown
0.027798,0.001583779,mammal,pond_1985,measured,unknown
0.027798,0.001368385,mammal,pond_1985,measured,unknown
0.029923,0.00135023,mammal,pond_1985,measured,unknown
0.02476,0.000462703,mammal,pond_1985,measured,unknown
0.038927,0.002235554,mammal,pond_1985,measured,unknown
0.038116,0.00241485,mammal,pond_1985,measured,unknown
0.03852,0.002615961,mammal,pond_1985,measured,unknown
0.033595,0.002802142,mammal,pond_1985,measured,unknown
0.036932,0.003248805,mammal,pond_1985,measured,unknown
0.030883,0.002857443,mammal,pond_1985,measured,unknown
0.035039,0.003273947,mammal,pond_1985,measured,unknown
0.03395,0.003388854,mammal,pond_1985,measured,unknown
0.0406,0.004792843,mammal,pond_1985,measured,unknown
0.0293,0.004473814,mammal,pond_1985,measured,unknown
0.033243,0.005454713,mammal,pond_1985,measured,unknown
0.035039,0.00603684,mammal,pond_1985,measured,unknown
0.0406,0.007642642,mammal,pond_1985,measured,unknown
0.03121,0.006287435,mammal,pond_1985,measured,unknown
0.032324,0.0100109,mammal,pond_1985,measured,unknown
0.040743,0.013262225,mammal,pond_1985,measured,unknown
0.042794,0.014488835,mammal,pond_1985,measured,unknown
0.055475,0.019490427,mammal,pond_1985,measured,unknown
0.040175,0.009659317,mammal,pond_1985,measured,unknown
0.045903,0.010394826,mammal,pond_1985,measured,unknown
0.046879,0.010274021,mammal,pond_1985,measured,unknown
0.048213,0.009789928,mammal,pond_1985,measured,unknown
0.044011,0.003480384,mammal,pond_1985,measured,unknown
0.052448,0.004705307,mammal,pond_1985,measured,unknown
0.060772,0.00576602,mammal,pond_1985,measured,unknown
0.065647,0.005709922,mammal,pond_1985,measured,unknown
0.053189,0.003802074,mammal,pond_1985,measured,unknown
0.059925,0.003974064,mammal,pond_1985,measured,unknown
0.063384,0.004607913,mammal,pond_1985,measured,unknown
0.06428,0.002036203,mammal,pond_1985,measured,unknown
0.085699,0.004745888,mammal,pond_1985,measured,unknown
0.075534,0.001910723,mammal,pond_1985,measured,unknown
0.083915,0.001612764,mammal,pond_1985,measured,unknown
0.112665,0.00332929,mammal,pond_1985,measured,unknown
0.119169,0.010944601,mammal,pond_1985,measured,unknown
0.126935,0.003210966,mammal,pond_1985,measured,unknown
0.080456,0.011423029,mammal,pond_1985,measured,unknown
0.094543,0.016726693,mammal,pond_1985,measured,unknown
0.083328,0.015097073,mammal,pond_1985,measured,unknown
0.131466,0.026055425,mammal,pond_1985,measured,unknown
0.143011,0.029082379,mammal,pond_1985,measured,unknown
0.236982,0.047543919,mammal,pond_1985,measured,unknown
0.179001,0.028405789,mammal,pond_1985,measured,unknown
0.145032,0.019753996,mammal,pond_1985,measured,unknown
0.205961,0.024110163,mammal,pond_1985,measured,unknown
0.207411,0.018859844,mammal,pond_1985,measured,unknown
0.186696,0.006254397,mammal,pond_1985,measured,unknown
0.196092,0.005079564,mammal,pond_1985,measured,unknown
0.236982,0.006066751,mammal,pond_1985,measured,unknown
0.24033,0.012651812,mammal,pond_1985,measured,unknown
0.235325,0.014891049,mammal,pond_1985,measured,unknown
0.263276,0.016659748,mammal,pond_1985,measured,unknown
0.282407,0.022933259,mammal,pond_1985,measured,unknown
0.261436,0.023216229,mammal,pond_1985,measured,unknown
0.252425,0.023719982,mammal,pond_1985,measured,unknown
0.318175,0.03502242,mammal,pond_1985,measured,unknown
0.379164,0.054639498,mammal,pond_1985,measured,unknown
0.348554,0.05202887,mammal,pond_1985,measured,unknown
0.305061,0.006511863,mammal,pond_1985,measured,unknown
0.363537,0.011736794,mammal,pond_1985,measured,unknown
0.406717,0.013625183,mammal,pond_1985,measured,unknown
0.387228,0.015796206,mammal,pond_1985,measured,unknown
0.387228,0.021208694,mammal,pond_1985,measured,unknown
0.389954,0.025386692,mammal,pond_1985,measured,unknown
0.433222,0.043341894,mammal,pond_1985,measured,unknown
0.464702,0.071484456,mammal,pond_1985,measured,unknown
0.439342,0.00777626,mammal,pond_1985,measured,unknown
0.561602,0.007209864,mammal,pond_1985,measured,unknown
0.527243,0.015419963,mammal,pond_1985,measured,unknown
0.542246,0.019483628,mammal,pond_1985,measured,unknown
0.623915,0.018816036,mammal,pond_1985,measured,unknown
0.577584,0.023385898,mammal,pond_1985,measured,unknown
0.527243,0.028076361,mammal,pond_1985,measured,unknown
0.688298,0.031214944,mammal,pond_1985,measured,unknown
0.831823,0.044548364,mammal,pond_1985,measured,unknown
0.780931,0.051314574,mammal,pond_1985,measured,unknown
0.664575,0.042457252,mammal,pond_1985,measured,unknown
0.728028,0.044520068,mammal,pond_1985,measured,unknown
0.733153,0.04082352,mammal,pond_1985,measured,unknown
0.717885,0.052189005,mammal,pond_1985,measured,unknown
0.879837,0.072517719,mammal,pond_1985,measured,unknown
0.780931,0.066501327,mammal,pond_1985,measured,unknown
0.673964,0.057802013,mammal,pond_1985,measured,unknown
0.683486,0.076479419,mammal,pond_1985,measured,unknown
0.606653,0.091108485,mammal,pond_1985,measured,unknown
0.693143,0.100727883,mammal,pond_1985,measured,unknown
0.963843,0.119858033,mammal,pond_1985,measured,unknown
1.140569,0.140101706,mammal,pond_1985,measured,unknown
1.033882,0.13359405,mammal,pond_1985,measured,unknown
0.904874,0.126547664,mammal,pond_1985,measured,unknown
1.330893,0.179252016,mammal,pond_1985,measured,unknown
1.04116,0.154465541,mammal,pond_1985,measured,unknown
0.943772,0.14202459,mammal,pond_1985,measured,unknown
0.97746,0.156004571,mammal,pond_1985,measured,unknown
1.359198,0.250796962,mammal,pond_1985,measured,unknown
0.673964,0.132755215,mammal,pond_1985,measured,unknown
0.673964,0.159377944,mammal,pond_1985,measured,unknown
0.879837,0.215280728,mammal,pond_1985,measured,unknown
1.164825,0.012830399,mammal,pond_1985,measured,unknown
1.378402,0.009319171,mammal,pond_1985,measured,unknown
1.312352,0.024025873,mammal,pond_1985,measured,unknown
1.249468,0.08058325,mammal,pond_1985,measured,unknown
2.205405,0.166360226,mammal,pond_1985,measured,unknown
2.159479,0.243605666,mammal,pond_1985,measured,unknown
3.176174,0.383389498,mammal,pond_1985,measured,unknown
2.646649,0.469054425,mammal,pond_1985,measured,unknown
5.263192,1.524502513,mammal,pond_1985,measured,unknown
10.17692,2.391158947,mammal,pond_1985,measured,unknown
11.46585,2.310763308,mammal,pond_1985,measured,unknown
14.05249,2.896111052,mammal,pond_1985,measured,unknown
4.542277,0.763602114,mammal,pond_1985,measured,unknown
76.73553,16.02445613,mammal,pond_1985,measured,unknown
57.55612,10.69011665,mammal,pond_1985,measured,unknown
126.2686,24.98705214,mammal,pond_1985,measured,unknown
132.6234,25.68042307,mammal,pond_1985,measured,unknown
15.6117,2.173825664,mammal,pond_1985,measured,unknown
10.24856,1.355418891,mammal,pond_1985,measured,unknown
10.46651,1.288834488,mammal,pond_1985,measured,unknown
8.600059,0.904822274,mammal,pond_1985,measured,unknown
10.24856,1.01909434,mammal,pond_1985,measured,unknown
12.47279,1.300907009,mammal,pond_1985,measured,unknown
179.3155,26.4941164,mammal,pond_1985,measured,unknown
173.1354,23.00316988,mammal,pond_1985,measured,unknown
56.75432,7.575002828,mammal,pond_1985,measured,unknown
52.53971,5.958811001,mammal,pond_1985,measured,unknown
42.86869,4.366978117,mammal,pond_1985,measured,unknown
90.80536,8.643201337,mammal,pond_1985,measured,unknown
78.36747,6.959250006,mammal,pond_1985,measured,unknown
82.89106,6.454218149,mammal,pond_1985,measured,unknown
109.7402,6.877518006,mammal,pond_1985,measured,unknown
